sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
NBA,NBA|betql,betql,total,OVER,,17356,8540,8791,25,0.4928,0.4853,-1678.62,-0.1016,-51.1,15521,strong,needs_more_sample
NBA,NBA|action,action,player_prop,OVER,,8589,4399,4170,20,0.5134,0.5028,-3245.52,-0.6286,-70.9,1808,strong,promote_candidate
NBA,NBA|bettingpros_experts,bettingpros_experts,player_prop,UNDER,,6469,3804,2519,146,0.6016,0.5895,-56.32,-0.009,-12987.7,36,strong,keep
MLB,MLB|action,action,total,over,,5773,2839,2842,92,0.4997,0.4867,-2835.67,-0.9648,57.1,13,strong,needs_more_sample
NBA,NBA|oddstrader,oddstrader,player_prop,OVER,,2828,1433,1388,7,0.508,0.4895,-565.75,-0.2374,-109.4,1901,strong,needs_more_sample
NBA,NBA|sportsline,sportsline,player_prop,OVER,,2484,1330,1149,5,0.5365,0.5168,-79.05,-0.0326,-109.3,120,strong,promote_candidate
MLB,MLB|sportsline,sportsline,spread,N.Y. Yankees,,1332,694,631,7,0.5238,0.4969,-86.33,-0.0648,-87.7,0,strong,needs_more_sample
NBA,NBA|action|betql,action|betql,player_prop,OVER,,1315,644,656,15,0.4954,0.4683,-365.61,-0.3712,-83.0,622,strong,needs_more_sample
NBA,NBA|dimers,dimers,player_prop,OVER,,929,392,537,0,0.422,0.3906,-41.0,-0.0445,99.6,516,strong,demote_candidate
NBA,NBA|action|dimers,action|dimers,spread,,,746,353,383,10,0.4796,0.4437,-200.15,-0.3398,-77.5,208,strong,investigate_data_quality
NBA,NBA|covers,covers,player_prop,OVER,,637,312,325,0,0.4898,0.4512,-74.43,-0.1257,-50.2,540,strong,investigate_data_quality
NBA,NBA|bettingpros_props,bettingpros_props,player_prop,UNDER,,508,243,264,1,0.4793,0.4361,-44.88,-0.0884,-83.4,508,strong,investigate_data_quality
NBA,NBA|action|sportsline,action|sportsline,spread,,,499,260,233,6,0.5274,0.4833,-135.96,-0.3929,-91.7,143,strong,needs_more_sample
NBA,NBA|juicereel_sxebets,juicereel_sxebets,player_prop,OVER,,227,106,118,3,0.4732,0.4088,-33.55,-0.1794,72.5,89,strong,demote_candidate
MLB,MLB|action|sportsline,action|sportsline,total,UNDER,,188,85,93,10,0.4775,0.4054,-52.98,-0.3604,-80.5,0,strong,demote_candidate
NBA,NBA|action|bettingpros_experts,action|bettingpros_experts,spread,,,166,79,84,3,0.4847,0.4092,-36.89,-0.2654,-96.5,39,strong,demote_candidate
NBA,NBA|betql|covers,betql|covers,player_prop,OVER,,153,77,73,3,0.5133,0.434,-0.65,-0.0043,-36.2,147,strong,investigate_data_quality
NBA,NBA|juicereel_nukethebooks,juicereel_nukethebooks,player_prop,OVER,,146,84,62,0,0.5753,0.4942,-22.8,-0.2172,-85.7,56,actionable,needs_more_sample
NBA,NBA|action|dimers|sportsline,action|dimers|sportsline,spread,,,114,64,50,0,0.5614,0.4698,-28.76,-0.3834,-114.0,25,actionable,needs_more_sample
NBA,NBA|action|oddstrader,action|oddstrader,moneyline,,,111,61,50,0,0.5495,0.4569,-26.63,-0.3551,-83.5,39,actionable,investigate_data_quality
NBA,NBA|betql|oddstrader,betql|oddstrader,player_prop,OVER,,110,59,51,0,0.5364,0.4435,-12.87,-0.1399,-57.4,74,actionable,investigate_data_quality
NBA,NBA|bettingpros_experts|oddstrader,bettingpros_experts|oddstrader,spread,CHA,,109,59,50,0,0.5413,0.4479,-10.32,-0.1053,-100.7,17,actionable,investigate_data_quality
NBA,NBA|betql|dimers,betql|dimers,player_prop,OVER,,102,46,56,0,0.451,0.3579,-41.29,-0.5656,25.5,49,actionable,demote_candidate
NBA,NBA|action|vegasinsider,action|vegasinsider,total,UNDER,,102,58,43,1,0.5743,0.4768,-11.52,-0.1535,-78.7,60,actionable,needs_more_sample
NBA,NBA|bettingpros_experts|sportsline,bettingpros_experts|sportsline,player_prop,OVER,,99,61,38,0,0.6162,0.5177,4.67,0.0492,-173.3,6,actionable,promote_candidate
NBA,NBA|action|covers,action|covers,player_prop,OVER,,85,46,38,1,0.5476,0.4414,-15.42,-0.2448,-71.4,43,actionable,investigate_data_quality
NBA,NBA|action|juicereel_sxebets,action|juicereel_sxebets,player_prop,OVER,,58,38,20,0,0.6552,0.5267,-12.62,-0.526,-19.7,5,watchlist,promote_candidate
NBA,NBA|dimers|oddstrader,dimers|oddstrader,moneyline,team,,55,31,24,0,0.5636,0.4327,-7.35,-0.1885,11.4,16,watchlist,investigate_data_quality
NBA,NBA|action|dimers|oddstrader,action|dimers|oddstrader,spread,,,54,22,32,0,0.4074,0.2868,-24.42,-0.6106,-73.7,13,watchlist,demote_candidate
NBA,NBA|action|juicereel_nukethebooks,action|juicereel_nukethebooks,player_prop,UNDER,,48,22,25,1,0.4681,0.3333,-21.14,-0.7048,-96.6,7,watchlist,demote_candidate
NBA,NBA|vegasinsider,vegasinsider,player_prop,OVER,,46,23,23,0,0.5,0.3612,-0.79,-0.0175,-53.2,42,watchlist,demote_candidate
NBA,NBA|action|bettingpros_experts|dimers,action|bettingpros_experts|dimers,moneyline,,,45,18,27,0,0.4,0.2702,-19.31,-0.5081,-107.2,14,watchlist,demote_candidate
NBA,NBA|betql|juicereel_sxebets,betql|juicereel_sxebets,player_prop,OVER,,45,25,20,0,0.5556,0.4118,-5.58,-0.1801,-1.6,16,watchlist,demote_candidate
NBA,NBA|action|betql|dimers,action|betql|dimers,spread,CHI,,40,28,11,1,0.7179,0.5622,-1.79,-0.0854,-52.5,12,watchlist,needs_more_sample
NBA,NBA|action|sportsline|vegasinsider,action|sportsline|vegasinsider,spread,NOP,,37,22,15,0,0.5946,0.4349,-3.96,-0.1467,-110.8,12,watchlist,needs_more_sample
NBA,NBA|covers|dimers,covers|dimers,moneyline,DAL,,36,24,12,0,0.6667,0.5033,7.99,0.242,-26.2,29,watchlist,needs_more_sample
NBA,NBA|dimers|sportsline,dimers|sportsline,moneyline,team,,37,20,16,1,0.5556,0.3958,-1.99,-0.0551,-122.1,5,watchlist,demote_candidate
NBA,NBA|action|betql|vegasinsider,action|betql|vegasinsider,spread,CLE,,38,23,12,3,0.6571,0.4915,-1.75,-0.0673,-109.7,18,watchlist,needs_more_sample
NBA,NBA|covers|oddstrader,covers|oddstrader,player_prop,UNDER,,31,15,16,0,0.4839,0.3197,-7.91,-0.3166,-46.1,22,watchlist,demote_candidate
NBA,NBA|action|betql|bettingpros_experts,action|betql|bettingpros_experts,total,UNDER,,30,16,14,0,0.5333,0.3614,-10.53,-0.5852,-72.0,3,watchlist,demote_candidate
NBA,NBA|bettingpros_props|oddstrader,bettingpros_props|oddstrader,player_prop,OVER,,30,3,27,0,0.1,0.0346,-25.66,-0.8552,-79.2,30,watchlist,demote_candidate
NBA,NBA|juicereel_nukethebooks|juicereel_sxebets,juicereel_nukethebooks|juicereel_sxebets,player_prop,OVER,,30,12,16,2,0.4286,0.2651,-6.45,-0.2303,-14.6,22,watchlist,needs_more_sample
NBA,NBA|action|betql|sportsline,action|betql|sportsline,spread,NYK,,28,14,13,1,0.5185,0.3399,-7.57,-0.3783,-110.0,11,watchlist,needs_more_sample
NBA,NBA|oddstrader|sportsline,oddstrader|sportsline,moneyline,NYK,,24,16,8,0,0.6667,0.4671,0.75,0.0417,-107.4,8,insufficient_sample,needs_more_sample
NBA,NBA|action|bettingpros_props,action|bettingpros_props,player_prop,UNDER,,24,15,9,0,0.625,0.4271,4.23,0.1841,-72.4,23,insufficient_sample,needs_more_sample
NBA,NBA|action|oddstrader|vegasinsider,action|oddstrader|vegasinsider,player_prop,OVER,,23,9,14,0,0.3913,0.2216,-7.15,-0.3576,10.1,15,insufficient_sample,needs_more_sample
NBA,NBA|covers|sportsline,covers|sportsline,player_prop,OVER,,24,16,7,1,0.6957,0.4913,7.48,0.325,-37.3,16,insufficient_sample,needs_more_sample
NBA,NBA|covers|juicereel_sxebets,covers|juicereel_sxebets,player_prop,UNDER,,23,11,12,0,0.4783,0.2924,-5.25,-0.25,32.4,14,insufficient_sample,needs_more_sample
NBA,NBA|action|oddstrader|sportsline,action|oddstrader|sportsline,spread,,,22,10,12,0,0.4545,0.2692,-8.54,-0.5338,-111.1,4,insufficient_sample,needs_more_sample
NBA,NBA|dimers|vegasinsider,dimers|vegasinsider,spread,,,22,9,13,0,0.4091,0.2326,-8.29,-0.4365,-84.1,15,insufficient_sample,needs_more_sample
NBA,NBA|action|dimers|vegasinsider,action|dimers|vegasinsider,moneyline,TOR,,21,11,10,0,0.5238,0.3237,-3.59,-0.2113,-68.9,13,insufficient_sample,needs_more_sample
NBA,NBA|action|covers|vegasinsider,action|covers|vegasinsider,spread,CHA,,21,13,8,0,0.619,0.4088,1.29,0.0762,-72.1,14,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_props|covers,bettingpros_props|covers,player_prop,OVER,,21,16,5,0,0.7619,0.5491,9.56,0.4552,-60.9,21,insufficient_sample,needs_more_sample
NBA,NBA|juicereel_sxebets|oddstrader,juicereel_sxebets|oddstrader,player_prop,UNDER,,20,13,7,0,0.65,0.4329,2.48,0.1773,313.8,10,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|dimers,bettingpros_experts|dimers,moneyline,team,,19,10,9,0,0.5263,0.3171,0.78,0.0412,23.6,7,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_props|sportsline,bettingpros_props|sportsline,player_prop,OVER,,18,18,0,0,1.0,0.8241,17.22,0.9564,-53.9,18,insufficient_sample,needs_more_sample
